steig_id;stop_id;name;rbl;direction
1111366209;1085614030;"Celtesgasse";1243;"H"
1111366210;1085619606;"Salmannsdorf";1250;"H"
1111366233;1085621842;"Strehlgasse";1255;"R"
1111366234;1085616124;"Flotowgasse";1263;"R"
1111366235;1085617955;"Kammerergasse";1256;"R"
1111366236;1085618249;"Neustift am Walde";1252;"R"
1111366237;1085619444;"Rodlergasse";1260;"R"
1111366238;1085616331;"Gatterburggasse";2985;"R"
1111366239;1085618377;"Nußdorfer Straße";640;"R"
1111366240;1085616721;"Gustav-Pick-Gasse";1258;"R"
1111366241;1085616494;"Glanzing";1257;"R"
1111366242;1085616498;"Glatzgasse";1264;"R"
1111366243;1085615308;"Kleingartenverein Hackenberg";1254;"R"
1111366244;1085618524;"Obersteinergasse";1262;"R"
1111366245;1085615451;"Kratzlgasse";1259;"R"
1111366246;1085615488;"Krottenbachstraße";1261;"R"
1111366247;1085616906;"Hardtgasse";1227;"R"
1111366248;1085614608;"Neustift, Agnesgasse";1253;"R"
1111366249;1085619120;"Spittelau";3516;"R"
1111366250;1085614030;"Celtesgasse";1251;"R"
1111366251;1085615862;"Liechtenwerder Platz";5529;"R"
1111366252;1085619606;"Salmannsdorf";1250;"R"
1111366272;1085614695;"Alser Straße";220;"H"
1111366273;1085618264;"Neuwaldegg";5744;"H"
1111366274;1085616762;"Dornbach";1349;"H"
1111366275;1085613869;"Brünnlbadgasse";219;"H"
1111366276;1085619809;"Schottentor";2910;"H"
1111366277;1085618647;"Palffygasse";221;"H"
1111366278;1085615561;"Landesgerichtsstraße";1346;"H"
1111366279;1085619474;"Rosensteingasse";223;"H"
1111366280;1085615623;"Lange Gasse";217;"H"
1111366281;1085617099;"Hernals";1348;"H"
1111366282;1085617134;"Hernals, Wattgasse";2979;"H"
1111366283;1085621478;"Skodagasse";218;"H"
1111366284;1085614209;"Dornbacher Straße";1350;"H"
1111366285;1085617134;"Hernals, Wattgasse";224;"H"
1111366286;1085617240;"Himmelmutterweg";1351;"H"
1111366287;1085614407;"Elterleinplatz";222;"H"
1111366306;1085614695;"Alser Straße";234;"R"
1111366307;1085618647;"Palffygasse";233;"R"
1111366308;1085618264;"Neuwaldegg";5744;"R"
1111366309;1085616762;"Dornbach";1356;"R"
1111366310;1085613869;"Brünnlbadgasse";235;"R"
1111366311;1085619809;"Schottentor";2910;"R"
1111366312;1085615561;"Landesgerichtsstraße";238;"R"
1111366313;1085619474;"Rosensteingasse";231;"R"
1111366314;1085615623;"Lange Gasse";237;"R"
1111366315;1085617099;"Hernals";1357;"R"
1111366316;1085617134;"Hernals, Wattgasse";2979;"R"
1111366317;1085621478;"Skodagasse";236;"R"
1111366318;1085614209;"Dornbacher Straße";1355;"R"
1111366319;1085617134;"Hernals, Wattgasse";230;"R"
1111366320;1085617240;"Himmelmutterweg";1354;"R"
1111366321;1085614407;"Elterleinplatz";232;"R"
1111366582;1085623545;"Herzmanskystraße";3251;"H"
1111366583;1085622772;"Wolf in der Au";5795;"H"
1111366584;1085616042;"Auhof";3244;"H"
1111366585;1085622895;"Wolfersberggasse";5792;"H"
1111366586;1085622319;"Utendorfgasse";5793;"H"
1111366587;1085616254;"Mariabrunn Kirche";5796;"H"
1111366588;1085613588;"Bergmillergasse";5698;"H"
1111366589;1085615169;"Badgasse";5797;"H"
1111366590;1085616804;"Hadersdorfer Hauptstraße";3250;"H"
